
\begin{filecontents}{ping1.dat}
x y
0.0288410644531 1
1.02976806641 1
2.03178344727 1
3.03400463867 1
4.03513037109 1
5.03722973633 1
6.0372434082 1
7.01043652344 0
8.02466772461 0
9.0487578125 0
10.0727563477 0
11.0967607422 0
12.1207609863 0
13.1446398926 0
14.1687629395 0
15.1927590332 0
16.216767334 0
17.2407756348 0
18.2645498047 0
19.2887556152 0
20.312706543 0
21.3367580566 0
22.3607558594 0
23.3847587891 0
24.4087536621 0
25.4327558594 0
26.434463623 0
27.4486706543 0
28.472723877 0
29.4967585449 0
30.5207856445 0
31.5447563477 0
32.5687763672 0
33.5927526855 0
34.6472182617 1
35.6473352051 1
36.6495776367 1
37.6507141113 1
38.6515126953 1
39.6534689941 1
40.6550512695 1
41.6572160645 1
42.6587365723 1
43.6598496094 1
44.661894043 1
45.6637487793 1
46.6658442383 1
47.6686113281 1
48.6697199707 1
49.6715395508 1
50.6735385742 1
51.6754121094 1
52.6775825195 1
53.6787075195 1
54.6887050781 1
55.6814841309 1
56.6836259766 1
57.6855212402 1
58.6875429688 1
59.6894973145 1
60.6914313965 1
61.6928024902 1
62.6943125 1
63.6961213379 1
64.6695317383 0
65.6886728516 0
66.7127817383 0
67.736732666 0
68.760769043 0
69.7847580566 0
70.8086430664 0
71.8327619629 0
72.8567597656 0
73.8807250977 0
74.9047624512 0
75.9286318359 0
76.9526962891 0
77.9767561035 0
79.0006706543 0
80.0246340332 0
81.0487866211 0
82.0727470703 0
83.0967636719 0
84.1247585449 0
85.1447607422 0
86.1458625488 0
87.1608049316 0
88.1847731934 0
89.2087753906 0
90.2327602539 0
91.2889069824 1
92.2871081543 1
93.2883481445 1
94.2894006348 1
95.2918110352 1
96.2927055664 1
97.2948515625 1
98.2962578125 1
99.2973806152 1
100.298516357 1
101.309747559 1
102.301987793 1
103.303018311 1
104.313470703 1
105.315200439 1
106.307125488 1
107.309249268 1
108.311503662 1
109.312366455 1
110.313080811 1
111.314765381 1
112.316537109 1
113.318328369 1
114.320171631 1
115.322150635 1
116.322390137 1
117.324285889 1
118.326273682 1
119.328568848 1
120.329520264 1
121.302772461 0
122.32875708 0
123.352643799 0
124.376795654 0
125.40067334 0
126.424723877 0
127.448666748 0
128.472664307 0
129.496762939 0
130.520721436 0
131.544634277 0
132.568655273 0
133.592753906 0
134.616749756 0
135.640760742 0
136.66475708 0
137.692557373 0
138.712551025 0
139.736586426 0
140.760584229 0
141.784577637 0
142.808556885 0
143.832555176 0
144.856571777 0
145.880561768 0
146.881456055 0
147.896546875 0
148.920601807 0
149.944658691 0
150.968650391 0
151.992564209 0
153.016564209 0
154.040558594 0
155.06459082 0
156.088647461 0
157.112779053 0
158.136662598 0
159.160664062 0
160.21535376 1
161.215455566 1
162.216271484 1
163.218053467 1
164.219972656 1
165.221904785 1
166.231087646 1
167.224689941 1
168.226481934 1
169.228078125 1
170.229832764 1
171.231789795 1
172.233849854 1
173.235080078 1
174.236584229 1
175.23737207 1
176.237599365 1
177.239823242 1
178.240989258 1
179.212665527 0
180.216761963 0
181.240637207 0
182.264653564 0
183.288752686 0
184.312752197 0
185.33665332 0
186.360752197 0
187.384663086 0
188.408751709 0
189.432750977 0
190.456755859 0
191.48077417 0
192.504666748 0
193.528763184 0
194.552631836 0
195.576749023 0
196.600749756 0
197.624748779 0
198.648647461 0
199.672646973 0
200.696662109 0
201.720758545 0
202.744748779 0
203.768752197 0
204.792747559 0
205.816775146 0
206.817894775 0
207.832750732 0
208.856753906 0
209.880753174 0
210.904616699 0
211.928765137 0
212.952640869 0
213.97661084 0
215.000753174 0
216.024751953 0
217.080608887 1
218.078073975 1
219.079904297 1
220.081373535 1
221.082956543 1
222.08477417 1
223.086746338 1
224.088228027 1
225.08944043 1
226.090980225 1
227.09317334 1
228.094529785 1
229.094384033 1
230.095508301 1
231.096750244 1
232.097896484 1
233.100101807 1
234.100964355 1
235.102633057 1
236.103914795 1
237.10533252 1
238.106964844 1
239.108864258 1
240.110020996 1
241.111957031 1
242.112790527 1
243.114788086 1
244.124086426 1
245.117496826 1
246.118855469 1
247.091931885 0
248.120634766 0
249.144674561 0
250.16865625 0
251.192569092 0
252.216658203 0
253.240663574 0
254.264648193 0
255.288755371 0
256.316746338 0
257.336609619 0
258.360637451 0
259.384749756 0
260.408601074 0
261.43275415 0
262.456748047 0
263.48056665 0
264.504549561 0
265.528642822 0
266.552857178 0
267.554570801 0
268.568756104 0
269.592578857 0
270.61675708 0
271.640760498 0
272.667340332 0
273.688757813 0
274.740934326 1
275.742656982 1
276.744263916 1
277.75737207 1
278.746755371 1
279.748210205 1
280.749630859 1
281.751304443 1
282.753121338 1
283.755017578 1
284.756813477 1
285.758665039 1
286.760516113 1
287.762416748 1
288.76425 1
289.76480127 1
290.766398193 1
291.76821167 1
292.769077148 1
293.770882813 1
294.772821777 1
295.774608154 1
296.774093262 1
297.776032959 1
298.777933105 1
\end{filecontents}

